Node,Culture,SCCS_ID,Geographic_Region,Geographic_Subregion,Sources_Num,Pages_Num,PBMSources_Num,PBMPages_Num,Lat,Long,Differences_Tight_Loose,TAT,TAT_Puncture,TAT_Chisel,TAT_String,TAT_Unknown,TAT_UnknownSex_Prevalence,TAT_M,TAT_M_Puncture,TAT_M_Puncture_Prevalence,TAT_M_Chisel,TAT_M_Chisel_Prevalence,TAT_M_String,TAT_M_String_Prevalence,TAT_M_Unknown,TAT_M_Unknown_Prevalence,TAT_F,TAT_F_Puncture,TAT_F_Puncture_Prevalence,TAT_F_Chisel,TAT_F_Chisel_Prevalence,TAT_F_String,TAT_F_String_Prevalence,TAT_F_Unknown,TAT_F_Unknown_Prevalence,SCA,SCA_Cut,SCA_Cut_Slice,SCA_Cut_Remove,SCA_Burn,SCA_Perforate,SCA_Cut_Slice_UnknownSex_Prevalence,SCA_Cut_Remove_UnknownSex_Prevalence,SCA_Burn_UnknownSex_Prevalence,SCA_Perforate_UnknownSex_Prevalence,SCA_M,SCA_M_Cut,SCA_M_Cut_Prevalence,SCA_M_Cut_Slice,SCA_M_Cut_Slice_Prevalence,SCA_M_Cut_Remove,SCA_M_Cut_Remove_Prevalence,SCA_M_Burn,SCA_M_Burn_Prevalence,SCA_M_Perforate,SCA_M_Perforate_Prevalence,SCA_F,SCA_F_Cut,SCA_F_Cut_Prevalence,SCA_F_Cut_Slice,SCA_F_Cut_Slice_Prevalence,SCA_F_Cut_Remove,SCA_F_Cut_Remove_Prevalence,SCA_F_Burn,SCA_F_Burn_Prevalence,SCA_F_Perforate,SCA_F_Perforate_Prevalence,PIE,PIE_Ear,PIE_Ear_UnknownType,PIE_Earlobe,PIE_Earlobe_Simple,PIE_Earlobe_Enlarge,PIE_EarCartilage,PIE_EarCartilage_Simple,PIE_EarCartilage_Enlarge,PIE_Nose,PIE_Nose_UnknownType,PIE_Nose_Nostril_Simple,PIE_Nose_Nostril_Enlarge,PIE_Nose_Septum,PIE_Mouth,PIE_Lip,PIE_Lip_Simple,PIE_Lip_Labret,PIE_Tongue,PIE_Cheek,PIE_Cheek_Simple,PIE_Cheek_Enlarge,PIE_Ear_UnknownType_UnknownSex_Prevalence,PIE_Ear_EarlobeSimple_UnknownSex_Prevalence,PIE_Ear_EarlobeEnlarge_UnknownSex_Prevalence,PIE_Ear_CartilageSimple_UnknownSex_Prevalence,PIE_Ear_CartilageEnlarge_UnknownSex_Prevalence,PIE_Nose_UnknownType_UnknownSex_Prevalence,PIE_Nose_NostrilSimple_UnknownSex_Prevalence,PIE_Nose_NostrilEnlarge_UnknownSex_Prevalence,PIE_Nose_Septum_UnknownSex_Prevalence,PIE_Lip_Simple_UnknownSex_Prevalence,PIE_Lip_Labret_UnknownSex_Prevalence,PIE_Tongue_UnknownSex_Prevalence,PIE_Cheek_Simple_UnknownSex_Prevalence,PIE_Cheek_Enlarge_UnknownSex_Prevalence,PIE_M,PIE_M_Ear,PIE_M_Ear_Prevalence,PIE_M_Ear_UnknownType,PIE_M_Ear_UnknownType_Prevalence,PIE_M_Earlobe,PIE_M_Earlobe_Simple,PIE_M_Earlobe_Simple_Prevalence,PIE_M_Earlobe_Enlarge,PIE_M_Earlobe_Enlarge_Prevalence,PIE_M_EarCartilage,PIE_M_EarCartilage_Prevalence,PIE_M_EarCartilage_Simple,PIE_M_EarCartilage_Simple_Prevalence,PIE_M_EarCartilage_Enlarge,PIE_M_EarCartilage_Enlarge_Prevalence,PIE_M_Nose,PIE_M_Nose_Prevalence,PIE_M_Nose_Nostril_Simple,PIE_M_Nose_Nostril_Simple_Prevalence,PIE_M_Nose_Nostril_Enlarge,PIE_M_Nose_Nostril_Enlarge_Prevalence,PIE_M_Nose_Septum,PIE_M_Nose_Septum_Prevalence,PIE_M_Nose_UnknownType,PIE_M_Nose_UnknownType_Prevalence,PIE_M_Mouth,PIE_M_Lip,PIE_M_Lip_Prevalence,PIE_M_Lip_Simple,PIE_M_Lip_Simple_Prevalence,PIE_M_Lip_Labret,PIE_M_Lip_Labret_Prevalence,PIE_M_Tongue,PIE_M_Tongue_Prevalence,PIE_M_Cheek,PIE_M_Cheek_Prevalence,PIE_M_Cheek_Simple,PIE_M_Cheek_Simple_Prevalence,PIE_M_Cheek_Enlarge,PIE_M_Cheek_Enlarge_Prevalence,PIE_F,PIE_F_Ear,PIE_F_Ear_Prevalence,PIE_F_Ear_UnknownType,PIE_F_Ear_UnknownType_Prevalence,PIE_F_Earlobe,PIE_F_Earlobe_Simple,PIE_F_Earlobe_Simple_Prevalence,PIE_F_Earlobe_Enlarge,PIE_F_Earlobe_Enlarge_Prevalence,PIE_F_EarCartilage,PIE_F_EarCartilage_Prevalence,PIE_F_EarCartilage_Simple,PIE_F_EarCartilage_Simple_Prevalence,PIE_F_EarCartilage_Enlarge,PIE_F_EarCartilage_Enlarge_Prevalence,PIE_F_Nose,PIE_F_Nose_Prevalence,PIE_F_Nose_UnknownType,PIE_F_Nose_UnknownType_Prevalence,PIE_F_Nose_Nostril_Simple,PIE_F_Nose_Nostril_Simple_Prevalence,PIE_F_Nose_Nostril_Enlarge,PIE_F_Nose_Nostril_Enlarge_Prevalence,PIE_F_Nose_Septum,PIE_F_Nose_Septum_Prevalence,PIE_F_Mouth,PIE_F_Lip,PIE_F_Lip_Prevalence,PIE_F_Lip_Simple,PIE_F_Lip_Simple_Prevalence,PIE_F_Lip_Labret,PIE_F_Lip_Labret_Prevalence,PIE_F_Tongue,PIE_F_Tongue_Prevalence,PIE_F_Cheek,PIE_F_Cheek_Prevalence,PIE_F_Cheek_Simple,PIE_F_Cheek_Simple_Prevalence,PIE_F_Cheek_Enlarge,PIE_F_Cheek_Enlarge_Prevalence,GEN,GEN_M,GEN_M_Circumcision,GEN_Circumcision_Prevalence,GEN_M_Superincision,GEN_Superincision_Prevalence,GEN_M_Subincision,GEN_Subincision_Prevalence,GEN_M_Insertion,GEN_Insertion_Prevalence,GEN_M_Incision,GEN_M_Incision_Prevalence,GEN_M_Pierce,GEN_M_Pierce_Prevalence,GEN_M_PenisTattoo,GEN_M_PenisTattoo_Prevalence,GEN_M_TesticleTattoo,GEN_M_TesticleTattoo_Prevalence,GEN_M_UnilatCastrate,GEN_UnilatCastrate_Prevalence,GEN_M_BilatCastrate,GEN_BilatCastrate_Prevalence,GEN_F,GEN_F_Clitoridectomy,GEN_Clitoridectomy_Prevalence,GEN_F_ClitoralExcision,GEN_ClitoralExcision_Prevalence,GEN_F_LabialExcision,GEN_LabialExcision_Prevalence,GEN_F_Infibulation,GEN_Infibulation_Prevalence,GEN_F_Stretch,GEN_Stretch_Prevalence,GEN_F_Introcision,GEN_Introcision_Prevalence,GEN_F_Incision,GEN_F_Incision,GEN_F_Tattoo,GEN_F_Tattoo,GEN_F_Pierce,GEN_F_Pierce_Prevalence,AMP,AMP_Finger,AMP_Ear,AMP_Uvula,AMP_M,AMP_M_Finger,AMP_M_Finger_Prevalence,AMP_M_Ear,AMP_M_Ear_Prevalence,AMP_M_Uvula,AMP_M_Uvula_Prevalence,AMP_F,AMP_F_Finger,AMP_F_Finger_Prevalence,AMP_F_Ear,AMP_F_Ear_Prevalence,AMP_F_Uvula,AMP_F_Uvula_Prevalence,DEN,DEN_Ablation,DEN_Carve,DEN_Carve_UnknownType,DEN_Shorten,DEN_Sharpen,DEN_ReShape,DEN_Inlay,DEN_Ablation_UnknownSex_Prevalence,DEN_Carve_UnknownType_UnknownSex_Prevalence,DEN_Shorten_UnknownSex_Prevalence,DEN_Sharpen_UnknownSex_Prevalence,DEN_ReShape_UnknownSex_Prevalence,DEN_Inlay_UnknownSex_Prevalence,DEN_M,DEN_M_Ablation,DEN_M_Ablation_Prevalence,DEN_M_Carve,DEN_M_Carve_Prevalence,DEN_M_Shorten,DEN_M_Shorten_Prevalence,DEN_M_Sharpen,DEN_M_Sharpen_Prevalence,DEN_M_ReShape,DEN_M_ReShape_Prevalence,DEN_M_Carve_UnknownType,DEN_M_Carve_UnknownType_Prevalence,DEN_M_Inlay,DEN_M_Inlay_Prevalence,DEN_F,DEN_F_Ablation,DEN_F_Ablation_Prevalence,DEN_F_Carve,DEN_F_Carve_Prevalence,DEN_F_Shorten,DEN_F_Shorten_Prevalence,DEN_F_Sharpen,DEN_F_Sharpen_Prevalence,DEN_F_ReShape,DEN_F_ReShape_Prevalence,DEN_F_Carve_UnknownType,DEN_F_Carve_UnknownType_Prevalence,DEN_F_Inlay,DEN_F_Inlay_Prevalence,SHA,SHA_Cranial,SHA_Wrist,SHA_Foot,SHA_Toe,SHA_Cranial_UnknownSex_Prevalence,SHA_Wrist_UnknownSex_Prevalence,SHA_Foot_UnknownSex_Prevalence,SHA_Toe_UnknownSex_Prevalence,SHA_M,SHA_M_Prevalence,SHA_M_Cranial,SHA_M_Wrist,SHA_M_Foot,SHA_M_Toe,SHA_F,SHA_F_Prevalence,SHA_F_Cranial,SHA_F_Wrist,SHA_F_Foot,SHA_F_Toe,Total_Types,Total_Types_M,Total_Types_F,Total_Subtypes,Total_M_Subtypes,Total_F_Subtypes,Prevalence,Prevalence_M,Prevalence_F
Cubeo_Tucano,Cubeo,SCCS167,South America,Western South America,5,357,2,10,1.25,-70.5,Same,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,1,nd,nd,nd,nd,nd,nd,nd,1,1,General,1,General,nd,nd,nd,nd,nd,nd,1,1,General,1,General,nd,nd,nd,nd,nd,nd,1,1,nd,1,1,0,nd,nd,nd,nd,nd,nd,nd,nd,0,0,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,0,nd,nd,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,1,1,Present,nd,nd,1,1,Present,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,2,1,2,2,1,2,General,General,General
Cuna_Tule,Guna,SCCS158,Central America,Central America,28,3775,11,27,9.25,-78.5,Different,1,1,nd,nd,nd,Narrow,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,nd,1,1,nd,nd,nd,nd,1,nd,nd,nd,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,1,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,1,1,General,nd,nd,nd,nd,nd,nd,nd,nd,1,General,nd,nd,nd,nd,nd,nd,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,2,1,1,3,1,2,General,General,General
Egyptians,Egyptians,SCCS43,Africa,Northern Africa,5,1746,5,7,24.75,33,Same,1,1,nd,nd,nd,nd,1,1,General,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,nd,nd,nd,nd,0,0,0,nd,nd,nd,nd,nd,nd,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,nd,1,1,nd,1,1,nd,1,nd,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,1,1,General,nd,nd,1,General,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,1,1,General,nd,nd,1,General,1,General,nd,nd,1,General,nd,nd,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,nd,nd,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,3,3,3,6,4,5,General,General,General
Eyak,Eyak,SCCS130,North America,Subarctic America,2,599,2,31,60.5,-145,Same,1,nd,nd,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,nd,nd,nd,nd,1,General,nd,nd,1,nd,nd,nd,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,nd,nd,nd,nd,nd,nd,1,Present,nd,nd,1,1,1,nd,nd,nd,nd,nd,nd,1,nd,nd,nd,1,1,1,nd,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,General,nd,nd,nd,nd,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,General,nd,nd,nd,nd,nd,nd,1,General,1,1,Present,nd,nd,1,Present,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,0,nd,0,0,0,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,3,1,3,5,2,5,General,General,General
Fon,Fon,SCCS18,Africa,West Tropical Africa,17,2283,8,41,7.2,1.91,Same,1,nd,nd,nd,1,nd,1,nd,nd,nd,nd,nd,nd,1,General,1,nd,nd,nd,nd,nd,nd,1,General,1,1,1,nd,nd,nd,nd,nd,nd,nd,1,1,General,1,General,nd,nd,nd,nd,nd,nd,1,1,General,1,General,nd,nd,nd,nd,nd,nd,1,1,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,nd,nd,nd,nd,nd,nd,nd,nd,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,4,4,4,5,4,4,General,General,General
Fur_Darfur,Fur,SCCS29,Africa,Northeast Tropical Africa,11,1876,5,19,13.5,25.5,Same,1,1,nd,nd,nd,nd,0,0,Absent,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,nd,1,1,nd,1,1,nd,1,nd,1,nd,0,0,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,nd,nd,nd,nd,nd,1,General,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,1,1,General,nd,nd,nd,nd,nd,nd,nd,nd,1,General,nd,nd,1,General,nd,nd,0,Absent,0,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,nd,nd,1,Narrow,1,Narrow,1,Narrow,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,3,2,3,8,2,6,General,General,General
Ganda,Ganda,SCCS12,Africa,East Tropical Africa,16,2396,8,13,0.33,32.5,Different,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,1,nd,1,nd,nd,nd,nd,nd,0,0,Absent,0,Absent,nd,nd,nd,nd,nd,nd,1,1,Narrow,1,Narrow,nd,nd,1,Narrow,nd,nd,0,0,nd,0,nd,nd,nd,nd,nd,0,nd,nd,nd,nd,0,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,1,Narrow,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,0,nd,0,0,0,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,2,1,1,3,1,2,Narrow,Narrow,Narrow
Garo,Garo,SCCS69,Asia,Indian Subcontinent,6,1160,3,9,26,91,Different,1,1,nd,nd,nd,Narrow,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,nd,1,1,1,1,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,1,1,General,nd,nd,1,General,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,1,nd,nd,1,General,1,General,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,2,1,1,4,2,2,General,General,General
Gheg_Albanians,Gheg,SCCS48,Europe,Southeastern Europe,9,929,6,21,42,20.17,Same,1,1,nd,nd,nd,nd,1,1,General,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,nd,1,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,Present,nd,nd,1,1,Present,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0,0,Absent,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,nd,nd,nd,nd,nd,nd,nd,1,General,1,nd,nd,nd,1,General,1,nd,nd,nd,3,2,3,3,2,3,General,General,General
Gilbertese,Makin,SCCS107,Oceania,Southwestern Pacific,12,2050,5,33,3.38,172.99,Different,1,1,nd,nd,nd,nd,1,1,Present,nd,nd,nd,nd,nd,nd,1,1,Present,nd,nd,nd,nd,nd,nd,1,1,1,nd,1,nd,nd,nd,nd,nd,1,1,General,1,General,nd,nd,1,General,nd,nd,1,nd,nd,nd,nd,nd,nd,1,General,nd,nd,1,1,nd,1,nd,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,1,nd,nd,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,General,nd,nd,1,nd,nd,1,General,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1,1,0,Absent,0,Absent,nd,nd,nd,nd,nd,nd,1,Narrow,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,4,4,3,5,5,3,General,General,General
